index,座落,棟及號,建案名稱,總價,交易日期,單價,總面積,主建物占比,型態,樓別/棟高,交易標的,建物格局,車位總價,主要用途,主要建材,解約情形,交易明細,功能,備註,
481,大安區通安里安和路二段 解約,B-6F號,永陞信義安和案,17588,113/06/07,153.1,132.86,53.14,bt05,6/27,26-1-26土26建1車3,,1220,住家用,鋼骨,1130710全部解約,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
482,中正區重慶南路三段124巷2號,C-3F號,全坤富御,3038,113/06/07,92.7,32.77,55.41,bt05,3/22,13-1-13土13建1車0,3房2廳2衛,,住家用,鋼骨混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,本戶總面積含雨遮(計坪不計價)：5.05㎡(1.53坪),
483,中正區重慶南路三段124巷2號,F-4F號,全坤富御,3039,113/06/07,92.4,32.87,55.37,bt05,4/22,13-1-13土13建1車0,3房2廳2衛,,住家用,鋼骨混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,本戶總面積含雨遮(計坪不計價)：5.05㎡(1.53坪),
484,中正區重慶南路三段124巷2號,H-21F號,全坤富御,3710,113/06/07,107.8,39.14,55.28,bt05,21/22,13-1-13土13建1車1,2房2廳2衛,260,住家用,鋼骨混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,本戶總面積含雨遮(計坪不計價)：4.80㎡(1.45坪),
485,中山區松江路184巷,D-5號,松江阡語,2758,113/06/07,117.2,23.53,57.51,bt05,5/12,4-1-4土4建1車0,2房2廳2衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
486,中山區松江路184巷,A-7號,松江阡語,2760,113/06/07,126.8,21.77,61.5,bt05,7/12,4-1-4土4建1車0,2房2廳2衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
487,南港區三重里南港路一段20之1號,A棟A7-03F號,國協天玥,4199,113/06/07,123,41.54,60.96,bt05,3/18,41-1-41土41建1車1,2房2廳2衛,315,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
488,南港區三重里南港路一段20之1號,B棟B3-06F號,國協天玥,2920,113/06/07,127.3,22.94,60.82,bt05,6/15,41-1-41土41建1車0,2房2廳1衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
489,南港區三重里南港路一段20之1號,A棟A3-07F號,國協天玥,3004,113/06/07,130.9,22.94,60.82,bt05,7/18,41-1-41土41建1車0,2房2廳1衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
490,中山區中山北路二段27巷22號,A3-20F號,森仰,19259,113/06/07,171,127.73,60.9,bt05,20/24,10-1-10土10建1車2,,690,住家用,鋼骨造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
