index,座落,棟及號,建案名稱,總價,交易日期,單價,總面積,主建物占比,型態,樓別/棟高,交易標的,建物格局,車位總價,主要用途,主要建材,解約情形,交易明細,功能,備註,
0,萬華區興義街17號,C號,城西蒔光,2910,113/06/30,75.5,45.77,58.63,bt05,12/15,3-1-3土3建1車1,3房2廳2衛,265,住商用,鋼筋混凝土造,,明細加入比較,  Line 建坪單價計算,,
1,松山區吉祥里南京東路五段,A1-4F號,鐫萃,6923,113/06/30,160,43.27,59.12,bt05,4/24,4-1-4土4建1車0,2房2廳2衛,,住家用,鋼骨造,,明細加入比較,  Line 建坪單價計算,,
2,松山區八德路四段５９９號,D-13F號,松捷樂,1845,113/06/30,105.5,17.48,,btZ,13/13,5-1-5土5建1車0,,,住家用,鋼筋混凝土造,,明細加入比較,  Line,,
3,北投區建民里承德路六段,E-04F號,士科潤山,3066,113/06/30,114.7,26.73,54.45,bt05,4/18,1-1-1土1建1車0,2房2廳2衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
4,信義區基隆路二段２３號旁,F-9F號,華誼信義-閱翠,2939,113/06/30,173.1,16.98,55.62,bt05,9/24,19-1-19土19建1車0,1房1廳1衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
5,北投區雙全街8號,A6號,品嘉-箴品序,2336,113/06/30,87.5,26.7,59.32,bt05,17/18,5-1-5土5建1車0,2房2廳1衛,,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
6,北投區雙全街8號,A7號,品嘉-箴品序,1497,113/06/30,82.5,18.14,56.11,bt05,11/18,5-1-5土5建1車0,1房1廳1衛,,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
7,南港區三重里南港路一段20之1號,A棟A5-12F號,國協天玥,3087,113/06/30,134,23.04,60.58,bt05,12/18,41-1-41土41建1車0,2房2廳1衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
8,中山區長春路285號,A5-13F號,恆合鈺璽,4360,113/06/30,132.8,35.49,53.47,bt05,13/15,20-1-20土20建1車1,2房2廳1衛,230,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
9,大安區樂業街94巷,B棟B2-15F號,全坤御峰,6108,113/06/30,138.3,51.7,61.46,bt05,15/16,28-1-28土28建1車1,3房2廳2衛,340,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
10,信義區基隆路一段,B棟5號,吉祥．如藝,3626,113/06/30,145.5,24.92,59.55,bt05,16/23,10-1-10土10建1車0,2房2廳1衛,,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
11,信義區基隆路一段,B棟1號,吉祥．如藝,5431,113/06/30,141.5,44.03,59.52,bt05,16/23,10-1-10土10建1車1,3房2廳2衛,395,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
12,大安區古風里泰順街62巷(與辛亥路一段77巷巷口),A棟A3-18F號,文与堂,8305,113/06/30,161.7,70.92,60.93,bt05,18/21,27-1-27土27建1車2,3房2廳2衛,800,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
13,北投區中和街251號1樓,F-5號,玖原和美,3003,113/06/30,86,34.91,62.89,bt05,5/15,12-1-12土12建1車0,3房2廳2衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
14,北投區洲美里福善路,A棟6號,士科大院.,3046,113/06/30,104.5,34.68,57.8,bt05,3/22,4-1-4土4建1車1,2房2廳2衛,290,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
15,北投區洲美里福善路,A棟7號,士科大院.,5560,113/06/30,98.3,61.75,58.11,bt05,4/22,4-1-4土4建1車1,3房2廳3衛,310,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
16,士林區至善路一段116巷旁,A棟A2-6F號,璞真上善,6903,113/06/29,113.2,71.49,59.06,bt06,6/10,7-1-7土7建1車1,3房2廳3衛,330,住家用,鋼筋混凝土造,,明細加入比較,  Line 建坪單價計算,,
17,內湖區成功路146號旁,B-5F號,碧湖海川,3028,113/06/29,94.5,36.27,57.17,bt05,5/13,2-1-2土2建1車1,2房2廳2衛,200,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
18,北投區建民里承德路六段,F-08F號,士科潤山,5338,113/06/29,115.8,51.28,60.85,bt05,8/18,1-1-1土1建1車1,3房2廳2衛,340,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
19,北投區建民里承德路六段,A-12F號,士科潤山,5447,113/06/29,118.6,51.24,60.85,bt05,12/18,1-1-1土1建1車1,3房2廳2衛,330,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
20,中正區和平西路二段135號,03F-D號,恆悅植心苑,2390,113/06/29,109.1,21.91,58.03,bt05,3/14,9-1-9土9建1車0,2房1廳2衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
21,南港區昆陽街,C/03F號,豐琚,5230,113/06/29,125.8,50.57,55.12,bt05,3/14,6-1-6土6建1車1,3房2廳2衛,335,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
22,南港區昆陽街,B/04F號,豐琚,2939,113/06/29,123.6,23.78,59.01,bt05,4/14,6-1-6土6建1車0,2房2廳1衛,,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
23,南港區昆陽街,A/02F號,豐琚,4005,113/06/29,126.9,40.82,59.8,bt05,2/14,6-1-6土6建1車1,2房2廳1衛,305,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
24,南港區昆陽街,E/12F號,豐琚,3169,113/06/29,132,24.02,58.19,bt05,12/14,6-1-6土6建1車0,2房2廳1衛,,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
25,南港區昆陽街,C/04F號,豐琚,4800,113/06/29,126.8,47.11,60.52,bt05,4/14,6-1-6土6建1車1,3房2廳2衛,305,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
26,南港區昆陽街,B/02F號,豐琚,2905,113/06/29,122.2,23.77,59.02,bt05,2/14,6-1-6土6建1車0,2房2廳1衛,,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
27,北投區建民里文承路,C-10F號,新潤潤心,5698,113/06/29,120,52.5,59.37,bt05,10/12,1-1-1土1建1車1,3房2廳2衛,310,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
28,北投區建民里文承路,C-3F號,新潤潤心,5552,113/06/29,117,52.5,59.37,bt05,3/12,1-1-1土1建1車1,3房2廳2衛,300,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
29,北投區雙全街8號,A7號,品嘉-箴品序,1512,113/06/29,83.3,18.14,56.11,bt05,12/18,5-1-5土5建1車0,1房1廳1衛,,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
30,北投區雙全街8號,A4號,品嘉-箴品序,1461,113/06/29,97.7,14.95,53.26,bt05,16/18,5-1-5土5建1車0,1房1廳1衛,,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
31,北投區雙全街8號,A1號,品嘉-箴品序,3795,113/06/29,92.8,40.91,57.21,bt05,16/18,5-1-5土5建1車0,1房1廳1衛,,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
32,南港區聯成里東新街77巷15弄1號2樓,A棟5-4F號,沐松琚,3239,113/06/29,120.1,35.39,59.41,bt05,4/15,12-1-12土12建1車1,2房2廳1衛,340,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
33,南港區聯成里東新街77巷15弄1號2樓,A棟6-3F號,沐松琚,4758,113/06/29,122.7,47.43,59.64,bt05,3/15,12-1-12土12建1車1,3房2廳2衛,320,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
34,南港區三重里南港路一段20之1號,A棟A2-05F號,國協天玥,4521,113/06/29,116.1,46.26,60.47,bt05,5/18,41-1-41土41建1車1,3房2廳2衛,305,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
35,南港區三重里南港路一段20之1號,A棟A3-03F號,國協天玥,2985,113/06/29,130.1,22.94,60.82,bt05,3/18,41-1-41土41建1車0,2房2廳1衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
36,大安區樂業街94巷,B棟B1-14F號,全坤御峰,6888,113/06/29,131.4,67.39,59.71,bt05,14/16,28-1-28土28建1車2,4房2廳2衛,660,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
37,中正區衡陽路102號,A10-5F號,全坤衡峰,2556,113/06/29,124.3,20.56,59.06,bt05,5/22,7-1-7土7建1車0,2房2廳1衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
38,中正區衡陽路102號,A7-17F號,全坤衡峰,3390,113/06/29,134.4,27.43,60.62,bt05,17/22,7-1-7土7建1車1,2房2廳1衛,220,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
39,中正區衡陽路102號,A9-9F號,全坤衡峰,3631,113/06/29,121.7,31.87,62.18,bt05,9/22,7-1-7土7建1車1,2房2廳1衛,220,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
40,中正區衡陽路102號,A1-3F號,全坤衡峰,4376,113/06/29,123,41.22,62.39,bt05,3/22,7-1-7土7建1車1,3房2廳2衛,255,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
41,中正區衡陽路102號,A9-5F號,全坤衡峰,3641,113/06/29,121.7,31.87,62.18,bt05,5/22,7-1-7土7建1車1,2房2廳1衛,230,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
42,中正區衡陽路102號,A11-13F號,全坤衡峰,3738,113/06/29,130.9,30.64,60.77,bt05,13/22,7-1-7土7建1車1,2房2廳2衛,230,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
43,中山區中山區新生里新生北路二段137巷1號旁,A8-4F號,鼎吉中山,2616,113/06/29,113,23.16,57.86,bt05,4/15,16-1-16土16建1車0,2房1廳2衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
44,中山區中山北路二段63號,B1號,國賓皇琚,24365,113/06/29,215.5,146.89,58.81,bt05,21/23,3-1-3土3建1車3,,1190,住家用,鋼骨造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
45,中山區新生北路二段68巷,I棟I-11F號,中山麗池,5037,113/06/29,116.3,47.46,60.96,bt05,11/23,40-1-40土40建1車1,3房2廳2衛,395,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
46,信義區基隆路一段,C-7F號,青后,2975,113/06/29,150.9,19.72,57.55,bt05,7/23,4-1-4土4建1車0,2房2廳1衛,,(第二組)多戶住宅(H-2),鋼骨RC造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
47,北投區石牌路二段３１５巷３１號,A2-9F號,天母鑲玉,3665,113/06/29,86.8,43.86,58.98,bt05,9/13,9-1-9土9建1車1,3房2廳2衛,170,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
48,北投區石牌路二段３１５巷３１號,A2-11F號,天母鑲玉,3692,113/06/29,87.5,43.86,58.98,bt05,11/13,9-1-9土9建1車1,3房2廳2衛,170,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
49,北投區石牌路二段３１５巷３１號,A1-6F號,天母鑲玉,3480,113/06/29,83.2,43.37,58.9,bt05,6/13,9-1-9土9建1車1,3房2廳2衛,170,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
50,北投區石牌路二段３１５巷３１號,A1-8F號,天母鑲玉,3545,113/06/29,84.9,43.37,58.9,bt05,8/13,9-1-9土9建1車1,3房2廳2衛,170,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
51,北投區文林北路75號75巷,C14號,隆雲心仝聚,4112,113/06/28,111.5,46.74,64.46,bt05,14/20,1-1-1土1建1車1,3房2廳2衛,260,住家用,鋼筋混凝土造,,明細加入比較,  Line 建坪單價計算,,
52,士林區至善路一段116巷旁,B棟B1-8F號,璞真上善,6620,113/06/28,108,81.79,58.73,bt05,8/11,7-1-7土7建1車2,3房2廳2衛,650,住家用,鋼筋混凝土造,,明細加入比較,  Line 建坪單價計算,,
53,士林區至善路一段116巷旁,B棟B2-3F號,璞真上善,6377,113/06/28,105.1,80.98,59.23,bt05,3/11,7-1-7土7建1車2,3房2廳2衛,650,住家用,鋼筋混凝土造,,明細加入比較,  Line 建坪單價計算,,
54,信義區嘉興街及信安街交叉口,11F-A9號,潤泰信義,5398,113/06/28,117.5,64.89,55.95,bt05,11/12,1-1-1土1建1車2,3房2廳2衛,620,公務機關、住宅,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
55,士林區中山北路七段141巷21號,C21號,天母上苑,2160,113/06/28,102.6,30.3,63.49,bt05,11/12,1-1-1土1建1車1,2房2廳1衛,255,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
56,大安區正聲里光復南路260巷、280巷,A9-22F號,鑄慕,9600,113/06/28,205.3,58.37,62.16,bt05,22/24,16-1-16土16建1車2,3房1廳2衛,1070,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
57,中正區和平西路二段135號,04F-B號,恆悅植心苑,4393,113/06/28,109.1,46.92,59.18,bt05,4/14,9-1-9土9建1車1,3房2廳2衛,390,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
58,內湖區民權東路六段210巷43號旁,A2-01F號,宏盛掬白,5025,113/06/28,108.6,53.66,60.85,bt05,1/11,3-1-3土3建1車1,,280,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
59,中山區長春路285號,A8-5F號,恆合鈺璽,3438,113/06/28,131,26.25,58.76,bt05,5/15,20-1-20土20建1車0,2房2廳1衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
60,文山區秀明路一段７號旁,B棟B6-14F號,安家湛,2690,113/06/28,94.9,35.35,60.44,bt05,14/14,9-1-9土9建1車1,2房2廳2衛,355,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
61,中正區龍興里南海路70號,B棟20F號,雍雋品,5138,113/06/28,133.2,47.43,60.08,bt05,20/20,15-1-15土15建1車1,2房2廳2衛,290,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
62,信義區基隆路一段,B棟10號,吉祥．如藝,5108,113/06/28,134,43.62,59.53,bt05,15/23,10-1-10土10建1車1,3房2廳2衛,395,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
63,信義區基隆路一段,B棟1號,吉祥．如藝,5200,113/06/28,135,44.03,59.52,bt05,14/23,10-1-10土10建1車1,3房2廳2衛,395,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
64,信義區基隆路一段,B棟4號,吉祥．如藝,5101,113/06/28,132.2,44.03,59.52,bt05,12/23,10-1-10土10建1車1,3房2廳2衛,395,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
65,中正區衡陽路102號,A12-6F號,全坤衡峰,2750,113/06/28,123.8,22.22,59.6,bt05,6/22,7-1-7土7建1車0,2房2廳1衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
66,中正區衡陽路102號,A12-3F號,全坤衡峰,2690,113/06/28,121.1,22.22,59.6,bt05,3/22,7-1-7土7建1車0,2房2廳1衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
67,中正區衡陽路102號,A10-9F號,全坤衡峰,2578,113/06/28,125.4,20.56,59.06,bt05,9/22,7-1-7土7建1車0,2房2廳1衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
68,中正區衡陽路102號,A12-15F號,全坤衡峰,2930,113/06/28,131.7,22.25,59.55,bt05,15/22,7-1-7土7建1車0,2房2廳1衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
69,中山區聚盛里錦州街30巷,A棟A9-15F號,中山．吉美,2517,113/06/28,120.1,20.96,60.55,bt05,15/24,7-1-7土7建1車0,1房1廳1衛,,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
70,北投區洲美里福善路,A棟2號,士科大院.,3180,113/06/28,108.4,34.98,57.87,bt05,6/22,4-1-4土4建1車1,2房2廳2衛,290,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
71,中山區新生北路二段68巷,J棟J-20F號,中山麗池,3314,113/06/28,124.4,26.64,58.62,bt05,20/23,40-1-40土40建1車0,2房2廳2衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
72,中山區新生北路二段68巷,J棟J-19F號,中山麗池,3314,113/06/28,124.4,26.64,58.62,bt05,19/23,40-1-40土40建1車0,2房2廳2衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
73,士林區美崙街11號,C1號,文林君閱,2445,113/06/28,106.8,22.89,57.94,bt05,9/14,14-1-14土14建1車0,2房2廳2衛,,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
74,信義區基隆路二段64~72號,D號,緻信義,3020,113/06/28,169,17.87,66.41,bt05,15/15,5-1-5土5建1車0,2房1廳1衛,,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
75,中山區民生東路一段18號,A棟A4-4F號,昀集柏寓,4230,113/06/28,123.6,36.11,61.27,bt05,4/15,7-1-7土7建1車1,2房1廳2衛,230,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
76,士林區至善路一段116巷旁,B棟B1-10F號,璞真上善,6686,113/06/27,109,82.13,58.73,bt05,10/11,7-1-7土7建1車2,3房2廳2衛,660,住家用,鋼筋混凝土造,,明細加入比較,  Line 建坪單價計算,,
77,士林區至善路一段116巷旁,B棟B2-10F號,璞真上善,6649,113/06/27,110,81.28,59.27,bt05,10/11,7-1-7土7建1車2,3房2廳2衛,660,住家用,鋼筋混凝土造,,明細加入比較,  Line 建坪單價計算,,
78,士林區至善路一段116巷旁,B棟B2-9F號,璞真上善,6618,113/06/27,109.4,81.28,59.27,bt05,9/11,7-1-7土7建1車2,3房2廳2衛,660,住家用,鋼筋混凝土造,,明細加入比較,  Line 建坪單價計算,,
79,南港區三重里南港路一段20之1號,B棟B5-03F號,國協天玥,2952,113/06/27,128.2,23.04,60.58,bt05,3/15,41-1-41土41建1車0,2房2廳1衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
80,中山區長春路285號,A5-3F號,恆合鈺璽,4198,113/06/27,125.1,39.88,53.47,bt05,3/15,20-1-20土20建1車1,2房2廳1衛,310,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
81,中山區長春路285號,A11-3F號,恆合鈺璽,6926,113/06/27,123,62.41,57.92,bt05,3/15,20-1-20土20建1車1,3房2廳2衛,330,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
82,中正區南海路70號,Ｃ棟12F號,雍雋品,5297,113/06/27,114.2,55.92,59.45,bt05,12/20,15-1-15土15建1車1,3房2廳2衛,280,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
83,信義區基隆路一段,A棟4號,吉祥．如藝,6189,113/06/27,141,49.54,59.31,bt05,15/23,10-1-10土10建1車1,3房2廳2衛,395,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
84,中正區衡陽路102號,A7-4F號,全坤衡峰,3700,113/06/27,119.2,33.03,61.71,bt05,4/22,7-1-7土7建1車1,2房2廳1衛,220,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
85,北投區文林北路,C號,家居璽玉,9052,113/06/27,124.7,87.54,59.05,bt05,14/22,1-1-1土1建1車2,3房2廳3衛,680,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
86,大安區敦南街103號共11筆,A-13F號,亞昕敦南,6990,113/06/27,143,48.87,60.15,bt05,13/13,20-1-20土20建1車0,,,住商用,鋼骨混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,親友、員工、共有人或其他特殊關係間之交易,毛胚屋
87,北投區中和街251號1樓,H-13號,玖原和美,3111,113/06/27,86.1,38.86,62.8,bt05,13/15,12-1-12土12建1車1,3房2廳2衛,200,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
88,中正區博愛路110號等,14F-A5號,博愛賦御,2820,113/06/27,130.6,22.76,59.72,bt05,14/15,6-1-6土6建1車1,2房1廳1衛,240,住商用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
89,中山區新生北路二段68巷,S棟S-15F號,中山麗池,3788,113/06/27,124.7,34.8,58.09,bt05,15/23,40-1-40土40建1車1,3房2廳2衛,390,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,露臺約2.88平方公尺,
90,中山區民生東路二段及新生北路二段,A-12F號,佳元當代美術館,5270,113/06/27,138.8,44.2,60.17,bt05,12/15,3-1-3土3建1車1,3房2廳2衛,415,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
91,中山區遼寧街105巷36號,D-4F號,TWINLINE,1950,113/06/26,138.8,14.05,57.43,bt06,4/9,3-1-3土3建1車0,1房1廳1衛,,住家用,鋼筋混凝土造,,明細加入比較,  Line 建坪單價計算,,
92,中正區和平西路二段135號,02F-B號,恆悅植心苑,2360,113/06/26,107.7,21.91,58.02,bt05,2/14,9-1-9土9建1車0,2房1廳2衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
93,中正區重慶南路三段124巷2號,D-11F號,全坤富御,2864,113/06/26,90.7,40.1,56.82,bt05,11/22,13-1-13土13建1車1,3房2廳2衛,270,住家用,鋼骨混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,本戶總面積含雨遮(計坪不計價)：4.68㎡(1.41坪),
94,中山區松江路184巷,C-9號,松江阡語,3138,113/06/26,127.2,25.98,59.76,bt05,9/12,4-1-4土4建1車1,2房2廳2衛,230,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,"交易總價含下列非屬預售屋價格之費用:裝潢費800,000元;",
95,南港區三重里南港路一段20之1號,A棟A5-18F號,國協天玥,3189,113/06/26,138.4,23.04,60.58,bt05,18/18,41-1-41土41建1車0,2房2廳1衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
96,南港區三重里南港路一段20之1號,A棟A3-06F號,國協天玥,2990,113/06/26,130.3,22.94,60.82,bt05,6/18,41-1-41土41建1車0,2房2廳1衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
97,南港區三重里南港路一段20之1號,A棟A6-12F號,國協天玥,4942,113/06/26,123.5,47.44,60.54,bt05,12/18,41-1-41土41建1車1,3房2廳2衛,310,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
98,南港區三重里南港路一段20之1號,A棟A6-13F號,國協天玥,4955,113/06/26,124.2,47.44,60.54,bt05,13/18,41-1-41土41建1車1,3房2廳2衛,300,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
99,南港區三重里南港路一段20之1號,A棟A6-10F號,國協天玥,4897,113/06/26,122.3,47.44,60.54,bt05,10/18,41-1-41土41建1車1,3房2廳2衛,310,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
100,中山區中山北路二段27巷22號,A2-4F號,森仰,18665,113/06/26,144.7,147.89,61.34,bt05,4/24,10-1-10土10建1車3,,1415,住家用,鋼骨造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
101,信義區基隆路一段,A棟6號,吉祥．如藝,4307,113/06/26,130.2,38.79,59.47,bt05,12/23,10-1-10土10建1車1,2房2廳1衛,355,住家用,鋼骨鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
102,中正區衡陽路102號,A11-5F號,全坤衡峰,3560,113/06/26,124.3,30.64,60.77,bt05,5/22,7-1-7土7建1車1,2房2廳2衛,230,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
103,中正區衡陽路102號,A8-13F號,全坤衡峰,2780,113/06/26,133,20.9,62.03,bt05,13/22,7-1-7土7建1車0,2房2廳1衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
104,中正區衡陽路102號,A8-18F號,全坤衡峰,4397,113/06/26,134.9,38.08,58.53,bt05,18/22,7-1-7土7建1車1,2房2廳2衛,300,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
105,中正區衡陽路102號,A2-7F號,全坤衡峰,3457,113/06/26,129,28.93,58.28,bt05,7/22,7-1-7土7建1車1,2房2廳1衛,220,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
106,中正區衡陽路102號,A2-5F號,全坤衡峰,3438,113/06/26,128.2,28.93,58.28,bt05,5/22,7-1-7土7建1車1,2房2廳1衛,220,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
107,中正區衡陽路102號,A2-4F號,全坤衡峰,2932,113/06/26,125.5,23.37,59.65,bt05,4/22,7-1-7土7建1車0,2房2廳1衛,,住家用,鋼筋混凝土造,,明細加入比較同建案(基地),  Line 建坪單價計算 預售備查,,
