,建案名稱,地址
119,冠輝京品,臺北市萬華區艋舺大道198號
120,力方飛,臺北市北投區承德路七段80號
121,力欣百漾,臺北市中山區林森北路446號
122,力麒天沐,臺北市北投區天母西路120巷號
123,力麒御品,臺北市萬華區莒光路315號
124,勝輝馥敦,臺北市松山區中崙里復興南路一段47巷9弄17、19號
125,勤美璞真城仰,臺北市松山區松基里敦化段一小段45號
126,勤耕延吉,臺北市松山區光復南路46巷36號
127,北城‧羅斯福,臺北市中正區羅斯福路三段68號
128,匯泰鴻,臺北市中山區建國北路二段68號
129,千荷田,臺北市中正區汀州路一段78號
130,南京&光北,臺北市松山區光復北路85巷22號
131,南京富心,臺北市中山區遼寧街101巷A戶4樓號
132,南京葒,臺北市中山區松江路108巷22號
133,南京阿曼,臺北市中山區南京東路三段12號
134,南方莊園,臺北市文山區興光里興德路47巷(B3-18F)號
135,南海1號苑,臺北市中正區南海路82號
136,南港首善,臺北市南港區重陽路A02棟12F號
137,南風裡,臺北市中正區愛國西路號
138,博愛賦御,臺北市中正區博愛路110號
139,印涼州,臺北市大同區涼州街號
140,原樹,臺北市中山區中原街112號
141,原禾呈真,臺北市文山區指南路三段103號
142,原禾御,臺北市北投區中央里大興街號
143,原禾賦,臺北市士林區德行東路335號
144,友座君碧,臺北市內湖區內湖路二段285號
145,友座君綻2森鄰,臺北市內湖區金龍路67巷號
146,友座安森,臺北市大安區新生南路一段161巷與信義路三段31巷路口號
147,友座臻璽,臺北市大安區和平東路三段212巷42號
148,古亭匯,臺北市中正區南昌路二段136號
149,古亭匯2,臺北市中正區南昌路二段134號
150,台北市大安區新生南路一段161巷預售屋,臺北市大安區新生南路一段161巷32號
151,台大JIA,臺北市中正區汀州路二段95號
152,台大公館,臺北市文山區溪州街67號
153,台大學,臺北市中正區羅斯福路四段170號
154,台大新碩,臺北市大安區泰順街60巷18弄6號
155,台大龍門,臺北市大安區和平東路二段76巷17弄3號
156,台大龍門-藏閱,臺北市大安區和平東路二段76巷17弄(藏閱D-2F)號
157,台太學,臺北市中正區羅斯福路四段170號
158,合矩青山,臺北市中山區晴光里雙城街(B3-3F)號
159,合矩青澄,臺北市士林區富光里葫蘆街30巷25號
160,合砌埕家,臺北市大同區南京西路267號
161,吉吉美,臺北市文山區景後街178號
162,吉祥居,臺北市內湖區康樂街136巷30弄B3棟拾肆樓號
163,吉祥．如藝,臺北市信義區基隆路一段號
164,吉美信義,臺北市文山區萬芳路(萬芳段二小段183-1地號
165,吉美君悅,臺北市文山區羅斯福路六段455巷號
166,吉美大安森林花園,臺北市大安區瑞安街155巷號
167,吉美大安花園,臺北市大安區大安路二段號
168,吉美天悅,臺北市北投區石牌路一段166巷A3棟13樓號
169,吉美樂河,臺北市大同區迪化街二段172巷號
170,吉美艾麗,臺北市松山區八德路四段號
171,吉達國際科技大樓,臺北市內湖區瑞光路358巷30弄2樓號
172,向陽上冠,臺北市中正區光復里漢口街一段號
173,吾上琚,臺北市北投區裕民六路111號
174,和平官址,臺北市中正區牯嶺街95巷號
175,和暘AI,臺北市信義區和平東路三段號
176,和暘W,臺北市文山區景中街號
177,和暘信邑,臺北市信義區永吉路225巷4弄1號
178,和歌誠美,臺北市中山區中山北路二段183巷號
