,建案名稱,地址
116,全坤御峰 資,臺北市大安區樂業街94巷號
117,全坤衡峰 資,臺北市中正區衡陽路102號
118,全盈信義,臺北市信義區忠孝東路五段790巷22弄17號
119,全陽豐會,臺北市士林區福志里中山北路5段750號
120,全陽馥 資,臺北市南港區經貿一路160號
121,八德137 資,臺北市中山區八德路二段137巷20號
122,八方玥,臺北市南港區市民大道八段號
123,八方玥 資,臺北市南港區市民大道八段號
124,公園大院-森活館,臺北市北投區中和街219之2號
125,公園大院-樂活館,臺北市北投區中和街219-1號
126,公園首席,臺北市大同區雙連里興城街80號
127,公園首璽 資,臺北市文山區木新路二段218巷、158巷交叉口號
128,六德．拾翫,臺北市大安區錦泰里杭州南路二段61巷號
129,冠德羅斯福,臺北市中正區羅斯福路三段號
130,冠輝京品,臺北市萬華區艋舺大道198號
131,力方飛,臺北市北投區承德路七段80號
132,力欣百漾,臺北市中山區林森北路446號
133,力麒天沐,臺北市北投區天母西路120巷號
134,力麒天沐 資,臺北市北投區天母西路120巷號
135,力麒御品,臺北市萬華區莒光路315號
136,勝輝馥敦,臺北市松山區中崙里復興南路一段47巷9弄17、19號
137,勝輝馥敦 資,臺北市松山區中崙里復興南路一段47巷9弄17、19號
138,勤美璞真城仰 資,臺北市松山區松基里敦化段一小段45號
139,勤耕延吉,臺北市松山區光復南路46巷36號
140,北城‧羅斯福 資,臺北市中正區羅斯福路三段68號
141,匯泰鴻,臺北市中山區建國北路二段68號
142,千荷田,臺北市中正區汀州路一段78號
143,南京&光北 資,臺北市松山區光復北路85巷22號
144,南京富心,臺北市中山區遼寧街101巷A戶4樓號
145,南京葒,臺北市中山區松江路108巷22號
146,南京阿曼,臺北市中山區南京東路三段12號
147,南京阿曼 資,臺北市中山區南京東路三段12號
148,南方莊園,臺北市文山區興光里興德路47巷(B3-18F)號
149,南海1號苑 資,臺北市中正區南海路82號
150,南港首善,臺北市南港區重陽路A02棟12F號
151,南風裡,臺北市中正區愛國西路號
152,博愛賦御 資,臺北市中正區博愛路110號
153,印涼州 資,臺北市大同區涼州街號
154,原樹,臺北市中山區中原街112號
155,原樹 資,臺北市中山區中原街112號
156,原禾呈真 資,臺北市文山區指南路三段103號
157,原禾御 資,臺北市北投區中央里大興街號
158,原禾賦 資,臺北市士林區德行東路335號
159,友座君碧,臺北市內湖區內湖路二段285號
160,友座君綻2森鄰,臺北市內湖區金龍路67巷號
161,友座安森 資,臺北市大安區新生南路一段161巷與信義路三段31巷路口號
162,友座臻璽,臺北市大安區和平東路三段212巷42號
163,古亭匯,臺北市中正區南昌路二段136號
164,古亭匯2,臺北市中正區南昌路二段134號
165,台北市大安區新生南路一段161巷預售屋,臺北市大安區新生南路一段161巷32號
166,台大JIA,臺北市中正區汀州路二段95號
167,台大公館,臺北市文山區溪州街67號
168,台大學,臺北市中正區羅斯福路四段170號
169,台大新碩,臺北市大安區泰順街60巷18弄6號
170,台大龍門,臺北市大安區和平東路二段76巷17弄3號
171,台大龍門-藏閱,臺北市大安區和平東路二段76巷17弄(藏閱D-2F)號
172,台太學,臺北市中正區羅斯福路四段170號
173,合矩青山,臺北市中山區晴光里雙城街(B3-3F)號
174,合矩青澄 資,臺北市士林區富光里葫蘆街30巷25號
175,合砌埕家 資,臺北市大同區南京西路267號
176,吉吉美,臺北市文山區景後街178號
177,吉祥居,臺北市內湖區康樂街136巷30弄B3棟拾肆樓號
178,吉祥．如藝 資,臺北市信義區基隆路一段號
179,吉美信義,臺北市文山區萬芳路(萬芳段二小段183-1地號
180,吉美君?,臺北市文山區羅斯福路六段455巷號
181,吉美君悅,臺北市文山區羅斯福路六段455巷號
182,吉美大安森林花園,臺北市大安區瑞安街155巷號
183,吉美大安花園,臺北市大安區大安路二段號
184,吉美天悅,臺北市北投區石牌路一段166巷A3棟13樓號
185,吉美樂河,臺北市大同區迪化街二段172巷號
186,吉美艾麗 資,臺北市松山區八德路四段號
187,吉達國際科技大樓,臺北市內湖區瑞光路358巷30弄2樓號
